,Admin2,FIPS,Lat,Long_,Confirmed,Deaths,STNAME,CTYNAME,POPESTIMATE2019,Abbreviation,Mortality,Conf100,Deaths100,Ctylabel,text,text100
15,Coffee,1031.0,31.39932826,-85.98901039,764,6,Alabama,Coffee County,52342,AL,0.79,1459.6308891521148,11.463069810095144,"Coffee, AL","Coffee, AL<br>Cases: 764<br>Deaths: 6","Coffee, AL<br>Cases per 100k pop: 1459.6<br>Deaths per 100k pop: 11.5"
16,Colbert,1033.0,34.69847452,-87.80168544,1207,16,Alabama,Colbert County,55241,AL,1.33,2184.97130754331,28.96399413479119,"Colbert, AL","Colbert, AL<br>Cases: 1207<br>Deaths: 16","Colbert, AL<br>Cases per 100k pop: 2185.0<br>Deaths per 100k pop: 29.0"
17,Conecuh,1035.0,31.43401703,-86.99320044,393,10,Alabama,Conecuh County,12067,AL,2.54,3256.8161100522084,82.87063893262616,"Conecuh, AL","Conecuh, AL<br>Cases: 393<br>Deaths: 10","Conecuh, AL<br>Cases per 100k pop: 3256.8<br>Deaths per 100k pop: 82.9"
18,Coosa,1037.0,32.93690146,-86.24847739,103,3,Alabama,Coosa County,10663,AL,2.91,965.957047735159,28.134671293257057,"Coosa, AL","Coosa, AL<br>Cases: 103<br>Deaths: 3","Coosa, AL<br>Cases per 100k pop: 966.0<br>Deaths per 100k pop: 28.1"
19,Covington,1039.0,31.247785399999998,-86.45050893,737,20,Alabama,Covington County,37049,AL,2.71,1989.2574698372425,53.98256363194688,"Covington, AL","Covington, AL<br>Cases: 737<br>Deaths: 20","Covington, AL<br>Cases per 100k pop: 1989.3<br>Deaths per 100k pop: 54.0"
20,Crenshaw,1041.0,31.72941803,-86.31593104,326,5,Alabama,Crenshaw County,13772,AL,1.53,2367.1216961951786,36.30554748765611,"Crenshaw, AL","Crenshaw, AL<br>Cases: 326<br>Deaths: 5","Crenshaw, AL<br>Cases per 100k pop: 2367.1<br>Deaths per 100k pop: 36.3"
21,Cullman,1043.0,34.13020303,-86.86888037,1227,12,Alabama,Cullman County,83768,AL,0.98,1464.75981281635,14.325279342947187,"Cullman, AL","Cullman, AL<br>Cases: 1227<br>Deaths: 12","Cullman, AL<br>Cases per 100k pop: 1464.8<br>Deaths per 100k pop: 14.3"
22,Dale,1045.0,31.43037123,-85.61095742,835,25,Alabama,Dale County,49172,AL,2.99,1698.1208818026519,50.841942568941676,"Dale, AL","Dale, AL<br>Cases: 835<br>Deaths: 25","Dale, AL<br>Cases per 100k pop: 1698.1<br>Deaths per 100k pop: 50.8"
23,Dallas,1047.0,32.32688101,-87.10866709999998,1331,23,Alabama,Dallas County,37196,AL,1.73,3578.341757178191,61.834605871599095,"Dallas, AL","Dallas, AL<br>Cases: 1331<br>Deaths: 23","Dallas, AL<br>Cases per 100k pop: 3578.3<br>Deaths per 100k pop: 61.8"
24,DeKalb,1049.0,34.45946862,-85.80782906,1830,13,Alabama,DeKalb County,71513,AL,0.71,2558.9752912057947,18.178512997636794,"DeKalb, AL","DeKalb, AL<br>Cases: 1830<br>Deaths: 13","DeKalb, AL<br>Cases per 100k pop: 2559.0<br>Deaths per 100k pop: 18.2"
25,Elmore,1051.0,32.59785413,-86.14415284,1731,38,Alabama,Elmore County,81209,AL,2.2,2131.537144897733,46.79284315777808,"Elmore, AL","Elmore, AL<br>Cases: 1731<br>Deaths: 38","Elmore, AL<br>Cases per 100k pop: 2131.5<br>Deaths per 100k pop: 46.8"
26,Escambia,1053.0,31.1256789,-87.15918694,1087,17,Alabama,Escambia County,36633,AL,1.56,2967.269947861218,46.40624573472006,"Escambia, AL","Escambia, AL<br>Cases: 1087<br>Deaths: 17","Escambia, AL<br>Cases per 100k pop: 2967.3<br>Deaths per 100k pop: 46.4"
27,Etowah,1055.0,34.04567266,-86.04051873,2162,32,Alabama,Etowah County,102268,AL,1.48,2114.053271795674,31.290335197715805,"Etowah, AL","Etowah, AL<br>Cases: 2162<br>Deaths: 32","Etowah, AL<br>Cases per 100k pop: 2114.1<br>Deaths per 100k pop: 31.3"
28,Fayette,1057.0,33.72076938,-87.73886638,212,5,Alabama,Fayette County,16302,AL,2.36,1300.4539320328795,30.67108330266225,"Fayette, AL","Fayette, AL<br>Cases: 212<br>Deaths: 5","Fayette, AL<br>Cases per 100k pop: 1300.5<br>Deaths per 100k pop: 30.7"
29,Franklin,1059.0,34.44235334,-87.84289505,1288,20,Alabama,Franklin County,31362,AL,1.55,4106.880938715643,63.77144314775843,"Franklin, AL","Franklin, AL<br>Cases: 1288<br>Deaths: 20","Franklin, AL<br>Cases per 100k pop: 4106.9<br>Deaths per 100k pop: 63.8"
30,Geneva,1061.0,31.09389027,-85.83572839,263,1,Alabama,Geneva County,26271,AL,0.38,1001.1038788017205,3.8064786266225115,"Geneva, AL","Geneva, AL<br>Cases: 263<br>Deaths: 1","Geneva, AL<br>Cases per 100k pop: 1001.1<br>Deaths per 100k pop: 3.8"
31,Greene,1063.0,32.85504247,-87.95684022,252,11,Alabama,Greene County,8111,AL,4.37,3106.8918752311674,135.61829614104303,"Greene, AL","Greene, AL<br>Cases: 252<br>Deaths: 11","Greene, AL<br>Cases per 100k pop: 3106.9<br>Deaths per 100k pop: 135.6"
32,Hale,1065.0,32.76039258,-87.63284988,478,26,Alabama,Hale County,14651,AL,5.44,3262.5759333833867,177.4622892635315,"Hale, AL","Hale, AL<br>Cases: 478<br>Deaths: 26","Hale, AL<br>Cases per 100k pop: 3262.6<br>Deaths per 100k pop: 177.5"
33,Henry,1067.0,31.51148016,-85.24267944,264,3,Alabama,Henry County,17205,AL,1.14,1534.4376634699215,17.436791630340018,"Henry, AL","Henry, AL<br>Cases: 264<br>Deaths: 3","Henry, AL<br>Cases per 100k pop: 1534.4<br>Deaths per 100k pop: 17.4"
34,Houston,1069.0,31.15197924,-85.29939599,1419,12,Alabama,Houston County,105882,AL,0.85,1340.1711339037797,11.333371111237037,"Houston, AL","Houston, AL<br>Cases: 1419<br>Deaths: 12","Houston, AL<br>Cases per 100k pop: 1340.2<br>Deaths per 100k pop: 11.3"
35,Jackson,1071.0,34.78144169,-85.99750489,1014,4,Alabama,Jackson County,51626,AL,0.39,1964.1266028745206,7.748033936388642,"Jackson, AL","Jackson, AL<br>Cases: 1014<br>Deaths: 4","Jackson, AL<br>Cases per 100k pop: 1964.1<br>Deaths per 100k pop: 7.7"
36,Jefferson,1073.0,33.55554728,-86.89506300000002,13258,244,Alabama,Jefferson County,658573,AL,1.84,2013.1405326364732,37.04980313495998,"Jefferson, AL","Jefferson, AL<br>Cases: 13258<br>Deaths: 244","Jefferson, AL<br>Cases per 100k pop: 2013.1<br>Deaths per 100k pop: 37.0"
37,Lamar,1075.0,33.77995024,-88.09668032,229,2,Alabama,Lamar County,13805,AL,0.87,1658.8192683810214,14.487504527345164,"Lamar, AL","Lamar, AL<br>Cases: 229<br>Deaths: 2","Lamar, AL<br>Cases per 100k pop: 1658.8<br>Deaths per 100k pop: 14.5"
38,Lauderdale,1077.0,34.90171875,-87.65624729,1189,19,Alabama,Lauderdale County,92729,AL,1.6,1282.2310172653647,20.48981440541794,"Lauderdale, AL","Lauderdale, AL<br>Cases: 1189<br>Deaths: 19","Lauderdale, AL<br>Cases per 100k pop: 1282.2<br>Deaths per 100k pop: 20.5"
39,Lawrence,1079.0,34.52041498,-87.31069453,351,2,Alabama,Lawrence County,32924,AL,0.57,1066.0916049082737,6.074596039363382,"Lawrence, AL","Lawrence, AL<br>Cases: 351<br>Deaths: 2","Lawrence, AL<br>Cases per 100k pop: 1066.1<br>Deaths per 100k pop: 6.1"
40,Lee,1081.0,32.60154883,-85.35132246,2700,47,Alabama,Lee County,164542,AL,1.74,1640.9184281216953,28.56413560063692,"Lee, AL","Lee, AL<br>Cases: 2700<br>Deaths: 47","Lee, AL<br>Cases per 100k pop: 1640.9<br>Deaths per 100k pop: 28.6"
41,Limestone,1083.0,34.81185586,-86.98310072,1349,13,Alabama,Limestone County,98915,AL,0.96,1363.7971996158317,13.142597179396452,"Limestone, AL","Limestone, AL<br>Cases: 1349<br>Deaths: 13","Limestone, AL<br>Cases per 100k pop: 1363.8<br>Deaths per 100k pop: 13.1"
42,Lowndes,1085.0,32.1597283,-86.65158371,573,24,Alabama,Lowndes County,9726,AL,4.19,5891.4250462677355,246.76125848241827,"Lowndes, AL","Lowndes, AL<br>Cases: 573<br>Deaths: 24","Lowndes, AL<br>Cases per 100k pop: 5891.4<br>Deaths per 100k pop: 246.8"
43,Macon,1087.0,32.38759944,-85.69267724,339,14,Alabama,Macon County,18068,AL,4.13,1876.245295550144,77.48505645339827,"Macon, AL","Macon, AL<br>Cases: 339<br>Deaths: 14","Macon, AL<br>Cases per 100k pop: 1876.2<br>Deaths per 100k pop: 77.5"
44,Madison,1089.0,34.76327133,-86.55069633,5447,34,Alabama,Madison County,372909,AL,0.62,1460.6780742754934,9.117505879450482,"Madison, AL","Madison, AL<br>Cases: 5447<br>Deaths: 34","Madison, AL<br>Cases per 100k pop: 1460.7<br>Deaths per 100k pop: 9.1"
45,Marengo,1091.0,32.24767634,-87.78796182,565,15,Alabama,Marengo County,18863,AL,2.65,2995.2817685415894,79.52075491703334,"Marengo, AL","Marengo, AL<br>Cases: 565<br>Deaths: 15","Marengo, AL<br>Cases per 100k pop: 2995.3<br>Deaths per 100k pop: 79.5"
46,Marion,1093.0,34.13697363,-87.88704173,580,26,Alabama,Marion County,29709,AL,4.48,1952.2703557844425,87.51556767309569,"Marion, AL","Marion, AL<br>Cases: 580<br>Deaths: 26","Marion, AL<br>Cases per 100k pop: 1952.3<br>Deaths per 100k pop: 87.5"
47,Marshall,1095.0,34.36975964,-86.30486727,3189,37,Alabama,Marshall County,96774,AL,1.16,3295.306590613181,38.233409800152934,"Marshall, AL","Marshall, AL<br>Cases: 3189<br>Deaths: 37","Marshall, AL<br>Cases per 100k pop: 3295.3<br>Deaths per 100k pop: 38.2"
48,Mobile,1097.0,30.78472347,-88.20842409,10517,207,Alabama,Mobile County,413210,AL,1.97,2545.194937199003,50.09559303985867,"Mobile, AL","Mobile, AL<br>Cases: 10517<br>Deaths: 207","Mobile, AL<br>Cases per 100k pop: 2545.2<br>Deaths per 100k pop: 50.1"
49,Monroe,1099.0,31.56729412,-87.36995001,421,5,Alabama,Monroe County,20733,AL,1.19,2030.5792697631796,24.11614334635605,"Monroe, AL","Monroe, AL<br>Cases: 421<br>Deaths: 5","Monroe, AL<br>Cases per 100k pop: 2030.6<br>Deaths per 100k pop: 24.1"
50,Montgomery,1101.0,32.2206831,-86.20969272,6835,149,Alabama,Montgomery County,226486,AL,2.18,3017.846577713413,65.78773080896832,"Montgomery, AL","Montgomery, AL<br>Cases: 6835<br>Deaths: 149","Montgomery, AL<br>Cases per 100k pop: 3017.8<br>Deaths per 100k pop: 65.8"
51,Morgan,1103.0,34.45500589,-86.85475946,2411,18,Alabama,Morgan County,119679,AL,0.75,2014.555602904436,15.040232622264558,"Morgan, AL","Morgan, AL<br>Cases: 2411<br>Deaths: 18","Morgan, AL<br>Cases per 100k pop: 2014.6<br>Deaths per 100k pop: 15.0"
52,Perry,1105.0,32.64048341,-87.29770589,445,4,Alabama,Perry County,8923,AL,0.9,4987.111957861705,44.82797265493668,"Perry, AL","Perry, AL<br>Cases: 445<br>Deaths: 4","Perry, AL<br>Cases per 100k pop: 4987.1<br>Deaths per 100k pop: 44.8"
53,Pickens,1107.0,33.28094866,-88.08818103,404,9,Alabama,Pickens County,19930,AL,2.23,2027.094831911691,45.15805318615153,"Pickens, AL","Pickens, AL<br>Cases: 404<br>Deaths: 9","Pickens, AL<br>Cases per 100k pop: 2027.1<br>Deaths per 100k pop: 45.2"
54,Pike,1109.0,31.80396383,-85.9408295,708,7,Alabama,Pike County,33114,AL,0.99,2138.068490668599,21.13909524672344,"Pike, AL","Pike, AL<br>Cases: 708<br>Deaths: 7","Pike, AL<br>Cases per 100k pop: 2138.1<br>Deaths per 100k pop: 21.1"
55,Randolph,1111.0,33.29526734,-85.45708831,403,10,Alabama,Randolph County,22722,AL,2.48,1773.6114778628641,44.010210368805566,"Randolph, AL","Randolph, AL<br>Cases: 403<br>Deaths: 10","Randolph, AL<br>Cases per 100k pop: 1773.6<br>Deaths per 100k pop: 44.0"
56,Russell,1113.0,32.28725256,-85.18415324,1387,2,Alabama,Russell County,57961,AL,0.14,2392.9883887441556,3.4505960904746296,"Russell, AL","Russell, AL<br>Cases: 1387<br>Deaths: 2","Russell, AL<br>Cases per 100k pop: 2393.0<br>Deaths per 100k pop: 3.5"
57,St. Clair,1115.0,33.71902176,-86.31029372,1354,18,Alabama,St. Clair County,89512,AL,1.33,1512.646349092859,20.10903566002324,"St. Clair, AL","St. Clair, AL<br>Cases: 1354<br>Deaths: 18","St. Clair, AL<br>Cases per 100k pop: 1512.6<br>Deaths per 100k pop: 20.1"
58,Shelby,1117.0,33.26879845,-86.66232561,3309,36,Alabama,Shelby County,217702,AL,1.09,1519.9676622171592,16.536366225390672,"Shelby, AL","Shelby, AL<br>Cases: 3309<br>Deaths: 36","Shelby, AL<br>Cases per 100k pop: 1520.0<br>Deaths per 100k pop: 16.5"
59,Sumter,1119.0,32.59117397,-88.19916205,364,18,Alabama,Sumter County,12427,AL,4.95,2929.1059789168744,144.84590005632896,"Sumter, AL","Sumter, AL<br>Cases: 364<br>Deaths: 18","Sumter, AL<br>Cases per 100k pop: 2929.1<br>Deaths per 100k pop: 144.8"
60,Talladega,1121.0,33.37823223,-86.16886178,1048,14,Alabama,Talladega County,79978,AL,1.34,1310.3603490960013,17.504813823801545,"Talladega, AL","Talladega, AL<br>Cases: 1048<br>Deaths: 14","Talladega, AL<br>Cases per 100k pop: 1310.4<br>Deaths per 100k pop: 17.5"
61,Tallapoosa,1123.0,32.86698258,-85.79833053,865,79,Alabama,Tallapoosa County,40367,AL,9.13,2142.8394480640127,195.7044120197191,"Tallapoosa, AL","Tallapoosa, AL<br>Cases: 865<br>Deaths: 79","Tallapoosa, AL<br>Cases per 100k pop: 2142.8<br>Deaths per 100k pop: 195.7"
62,Tuscaloosa,1125.0,33.28726072,-87.52556818,4230,76,Alabama,Tuscaloosa County,209355,AL,1.8,2020.4915096367415,36.301975114040744,"Tuscaloosa, AL","Tuscaloosa, AL<br>Cases: 4230<br>Deaths: 76","Tuscaloosa, AL<br>Cases per 100k pop: 2020.5<br>Deaths per 100k pop: 36.3"
63,Walker,1127.0,33.80270512,-87.30027177,1539,64,Alabama,Walker County,63521,AL,4.16,2422.820799420664,100.75408132743502,"Walker, AL","Walker, AL<br>Cases: 1539<br>Deaths: 64","Walker, AL<br>Cases per 100k pop: 2422.8<br>Deaths per 100k pop: 100.8"
64,Washington,1129.0,31.4092794,-88.20689944,443,12,Alabama,Washington County,16326,AL,2.71,2713.4631875535956,73.50238882763689,"Washington, AL","Washington, AL<br>Cases: 443<br>Deaths: 12","Washington, AL<br>Cases per 100k pop: 2713.5<br>Deaths per 100k pop: 73.5"
65,Wilcox,1131.0,31.98773215,-87.30891118,432,10,Alabama,Wilcox County,10373,AL,2.31,4164.658247372988,96.40412609659694,"Wilcox, AL","Wilcox, AL<br>Cases: 432<br>Deaths: 10","Wilcox, AL<br>Cases per 100k pop: 4164.7<br>Deaths per 100k pop: 96.4"
66,Winston,1133.0,34.15030532,-87.37325922,457,11,Alabama,Winston County,23629,AL,2.41,1934.0640738076092,46.552964577426046,"Winston, AL","Winston, AL<br>Cases: 457<br>Deaths: 11","Winston, AL<br>Cases per 100k pop: 1934.1<br>Deaths per 100k pop: 46.6"
67,Aleutians East,2013.0,55.32222414,-161.9722021,2,0,Alaska,Aleutians East Borough,3337,AK,0.0,59.93407252022775,0.0,"Aleutians East, AK","Aleutians East, AK<br>Cases: 2<br>Deaths: 0","Aleutians East, AK<br>Cases per 100k pop: 59.9<br>Deaths per 100k pop: 0.0"
68,Aleutians West,2016.0,52.3233,-174.1596,4,0,Alaska,Aleutians West Census Area,5634,AK,0.0,70.99751508697196,0.0,"Aleutians West, AK","Aleutians West, AK<br>Cases: 4<br>Deaths: 0","Aleutians West, AK<br>Cases per 100k pop: 71.0<br>Deaths per 100k pop: 0.0"
69,Anchorage,2020.0,61.14998174,-149.14269860000005,2198,14,Alaska,Anchorage Municipality,288000,AK,0.64,763.1944444444445,4.861111111111111,"Anchorage, AK","Anchorage, AK<br>Cases: 2198<br>Deaths: 14","Anchorage, AK<br>Cases per 100k pop: 763.2<br>Deaths per 100k pop: 4.9"
70,Bethel,2050.0,60.90980451,-159.8561831,23,0,Alaska,Bethel Census Area,18386,AK,0.0,125.09518111606657,0.0,"Bethel, AK","Bethel, AK<br>Cases: 23<br>Deaths: 0","Bethel, AK<br>Cases per 100k pop: 125.1<br>Deaths per 100k pop: 0.0"
71,Bristol Bay,2060.0,58.74513976,-156.701064,10,0,Alaska,Bristol Bay Borough,836,AK,0.0,1196.1722488038276,0.0,"Bristol Bay, AK","Bristol Bay, AK<br>Cases: 10<br>Deaths: 0","Bristol Bay, AK<br>Cases per 100k pop: 1196.2<br>Deaths per 100k pop: 0.0"
72,Denali,2068.0,63.67264044,-150.0076108,1,0,Alaska,Denali Borough,2097,AK,0.0,47.68717215069147,0.0,"Denali, AK","Denali, AK<br>Cases: 1<br>Deaths: 0","Denali, AK<br>Cases per 100k pop: 47.7<br>Deaths per 100k pop: 0.0"
73,Dillingham,2070.0,59.79603738,-158.23819419999995,1,0,Alaska,Dillingham Census Area,4916,AK,0.0,20.34174125305126,0.0,"Dillingham, AK","Dillingham, AK<br>Cases: 1<br>Deaths: 0","Dillingham, AK<br>Cases per 100k pop: 20.3<br>Deaths per 100k pop: 0.0"
74,Fairbanks North Star,2090.0,64.80726247,-146.5692662,440,5,Alaska,Fairbanks North Star Borough,96849,AK,1.14,454.3154808000083,5.162675918181912,"Fairbanks North Star, AK","Fairbanks North Star, AK<br>Cases: 440<br>Deaths: 5","Fairbanks North Star, AK<br>Cases per 100k pop: 454.3<br>Deaths per 100k pop: 5.2"
75,Haines,2100.0,59.09893571,-135.4679843,4,0,Alaska,Haines Borough,2530,AK,0.0,158.10276679841897,0.0,"Haines, AK","Haines, AK<br>Cases: 4<br>Deaths: 0","Haines, AK<br>Cases per 100k pop: 158.1<br>Deaths per 100k pop: 0.0"
76,Hoonah-Angoon,2105.0,58.29307365,-135.64244240000002,0,0,Alaska,Hoonah-Angoon Census Area,2148,AK,,0.0,0.0,"Hoonah-Angoon, AK","Hoonah-Angoon, AK<br>Cases: 0<br>Deaths: 0","Hoonah-Angoon, AK<br>Cases per 100k pop: 0.0<br>Deaths per 100k pop: 0.0"
77,Juneau,2110.0,58.45031811,-134.200436,110,1,Alaska,Juneau City and Borough,31974,AK,0.91,344.02952398824044,3.127541127165822,"Juneau, AK","Juneau, AK<br>Cases: 110<br>Deaths: 1","Juneau, AK<br>Cases per 100k pop: 344.0<br>Deaths per 100k pop: 3.1"
78,Kenai Peninsula,2122.0,60.24429722,-151.53888840000005,328,2,Alaska,Kenai Peninsula Borough,58708,AK,0.61,558.697281460789,3.4066907406145672,"Kenai Peninsula, AK","Kenai Peninsula, AK<br>Cases: 328<br>Deaths: 2","Kenai Peninsula, AK<br>Cases per 100k pop: 558.7<br>Deaths per 100k pop: 3.4"
79,Ketchikan Gateway,2130.0,55.57445008,-130.975561,36,0,Alaska,Ketchikan Gateway Borough,13901,AK,0.0,258.97417451981875,0.0,"Ketchikan Gateway, AK","Ketchikan Gateway, AK<br>Cases: 36<br>Deaths: 0","Ketchikan Gateway, AK<br>Cases per 100k pop: 259.0<br>Deaths per 100k pop: 0.0"
80,Kodiak Island,2150.0,57.65529415,-153.7493579,6,0,Alaska,Kodiak Island Borough,12998,AK,0.0,46.16094783812894,0.0,"Kodiak Island, AK","Kodiak Island, AK<br>Cases: 6<br>Deaths: 0","Kodiak Island, AK<br>Cases per 100k pop: 46.2<br>Deaths per 100k pop: 0.0"
81,Kusilvak,2158.0,62.15429159999999,-163.39678830000003,6,0,Alaska,Kusilvak Census Area,8314,AK,0.0,72.1674284339668,0.0,"Kusilvak, AK","Kusilvak, AK<br>Cases: 6<br>Deaths: 0","Kusilvak, AK<br>Cases per 100k pop: 72.2<br>Deaths per 100k pop: 0.0"
82,Lake and Peninsula,2164.0,58.62403337,-156.21405890000003,0,0,Alaska,Lake and Peninsula Borough,1592,AK,,0.0,0.0,"Lake and Peninsula, AK","Lake and Peninsula, AK<br>Cases: 0<br>Deaths: 0","Lake and Peninsula, AK<br>Cases per 100k pop: 0.0<br>Deaths per 100k pop: 0.0"
83,Matanuska-Susitna,2170.0,62.31305045,-149.5741743,349,2,Alaska,Matanuska-Susitna Borough,108317,AK,0.57,322.20242436551973,1.84643223132103,"Matanuska-Susitna, AK","Matanuska-Susitna, AK<br>Cases: 349<br>Deaths: 2","Matanuska-Susitna, AK<br>Cases per 100k pop: 322.2<br>Deaths per 100k pop: 1.8"
84,Nome,2180.0,64.90320724,-164.0353804,19,0,Alaska,Nome Census Area,10004,AK,0.0,189.92403038784485,0.0,"Nome, AK","Nome, AK<br>Cases: 19<br>Deaths: 0","Nome, AK<br>Cases per 100k pop: 189.9<br>Deaths per 100k pop: 0.0"
85,North Slope,2185.0,69.31479216,-153.4836093,18,0,Alaska,North Slope Borough,9832,AK,0.0,183.07567127746134,0.0,"North Slope, AK","North Slope, AK<br>Cases: 18<br>Deaths: 0","North Slope, AK<br>Cases per 100k pop: 183.1<br>Deaths per 100k pop: 0.0"
86,Northwest Arctic,2188.0,67.04919196,-159.7503946,40,0,Alaska,Northwest Arctic Borough,7621,AK,0.0,524.8655032148012,0.0,"Northwest Arctic, AK","Northwest Arctic, AK<br>Cases: 40<br>Deaths: 0","Northwest Arctic, AK<br>Cases per 100k pop: 524.9<br>Deaths per 100k pop: 0.0"
87,Petersburg,2195.0,57.13978948,-132.9540995,6,1,Alaska,Petersburg Borough,3266,AK,16.67,183.7109614206981,30.61849357011635,"Petersburg, AK","Petersburg, AK<br>Cases: 6<br>Deaths: 1","Petersburg, AK<br>Cases per 100k pop: 183.7<br>Deaths per 100k pop: 30.6"
88,Prince of Wales-Hyder,2198.0,55.76261984,-133.0511621,8,0,Alaska,Prince of Wales-Hyder Census Area,6203,AK,0.0,128.96985329679188,0.0,"Prince of Wales-Hyder, AK","Prince of Wales-Hyder, AK<br>Cases: 8<br>Deaths: 0","Prince of Wales-Hyder, AK<br>Cases per 100k pop: 129.0<br>Deaths per 100k pop: 0.0"
89,Sitka,2220.0,57.24124555,-135.3206587,27,0,Alaska,Sitka City and Borough,8493,AK,0.0,317.90886612504414,0.0,"Sitka, AK","Sitka, AK<br>Cases: 27<br>Deaths: 0","Sitka, AK<br>Cases per 100k pop: 317.9<br>Deaths per 100k pop: 0.0"
90,Skagway,2230.0,59.56149996,-135.33377480000001,0,0,Alaska,Skagway Municipality,1183,AK,,0.0,0.0,"Skagway, AK","Skagway, AK<br>Cases: 0<br>Deaths: 0","Skagway, AK<br>Cases per 100k pop: 0.0<br>Deaths per 100k pop: 0.0"
